product_id,date,store_id,current_stock,daily_demand,lead_time_days,supplier_reliability_score,promotion_active,weather_impact,stockout_risk
P1046,2/16/2024,S14,105,28,13,78,No,Medium,No
P1047,2/17/2024,S17,362,9,11,67,Yes,High,No
P1048,2/18/2024,S4,309,71,1,87,Yes,Low,No
P1049,2/19/2024,S18,381,62,4,67,Yes,Medium,No
P1050,2/20/2024,S8,232,31,10,90,No,High,Yes
P1051,2/21/2024,S4,264,84,12,62,Yes,Medium,Yes
P1052,2/22/2024,S2,343,117,10,62,No,Low,No
P1053,2/23/2024,S6,36,19,6,81,No,Medium,No
P1054,2/24/2024,S10,304,39,9,76,No,Low,No
P1055,2/25/2024,S4,40,80,1,95,No,High,No
P1056,2/26/2024,S18,16,109,7,76,No,Medium,No
P1057,2/27/2024,S12,343,57,10,73,No,High,Yes
P1058,2/28/2024,S2,276,48,11,68,Yes,Low,Yes
P1059,2/29/2024,S10,306,30,5,89,Yes,Low,No
P1060,3/1/2024,S4,58,51,12,80,Yes,High,Yes
P1061,3/2/2024,S14,422,38,8,71,Yes,High,Yes
P1062,3/3/2024,S16,182,91,14,96,Yes,Low,No
P1063,3/4/2024,S15,40,99,7,91,No,High,Yes
P1064,3/5/2024,S8,38,54,4,70,No,Low,No
P1065,3/6/2024,S14,396,88,4,79,No,High,No
P1066,3/7/2024,S8,191,16,6,94,Yes,Low,No
P1067,3/8/2024,S16,266,91,6,70,Yes,Low,No
P1068,3/9/2024,S13,493,8,9,67,No,Medium,No
P1069,3/10/2024,S18,146,91,12,63,No,Low,Yes
P1070,3/11/2024,S15,394,52,5,86,No,Low,Yes
P1071,3/12/2024,S13,332,59,8,99,No,Medium,No
P1072,3/13/2024,S9,126,116,5,97,No,Medium,Yes
P1073,3/14/2024,S15,45,5,2,89,No,High,Yes
P1074,3/15/2024,S13,44,93,6,86,Yes,High,No
P1075,3/16/2024,S1,0,70,9,80,No,Low,No
P1076,3/17/2024,S7,167,34,13,79,No,High,No
P1077,3/18/2024,S9,107,7,3,63,Yes,High,Yes
P1078,3/19/2024,S1,18,25,1,70,No,Low,No
P1079,3/20/2024,S12,331,93,1,72,No,Medium,No
P1080,3/21/2024,S8,71,88,13,68,No,Medium,Yes
P1081,3/22/2024,S11,455,53,3,63,Yes,Low,Yes
P1082,3/23/2024,S19,444,90,10,71,No,Low,No
P1083,3/24/2024,S17,108,89,5,68,No,Low,No
P1084,3/25/2024,S8,267,66,3,72,No,Low,No
P1085,3/26/2024,S3,444,101,9,85,Yes,Low,Yes
P1086,3/27/2024,S3,239,42,8,97,No,Low,No
P1087,3/28/2024,S1,416,19,3,72,No,High,No
P1088,3/29/2024,S5,300,114,9,98,No,High,Yes
P1089,3/30/2024,S10,89,56,13,87,Yes,High,Yes
P1090,3/31/2024,S7,102,83,6,78,No,Medium,No
P1091,4/1/2024,S9,475,50,13,83,No,Low,No
P1092,4/2/2024,S7,249,29,7,78,Yes,Low,No
P1093,4/3/2024,S9,452,25,4,72,No,High,No
P1094,4/4/2024,S8,7,92,4,72,No,Medium,No
P1095,4/5/2024,S12,152,9,12,87,Yes,High,No
P1096,4/6/2024,S2,346,74,13,61,No,Low,No
P1097,4/7/2024,S1,173,117,2,69,Yes,Low,No
P1098,4/8/2024,S16,342,111,5,81,No,High,No
P1099,4/9/2024,S5,157,116,8,72,No,High,No
P1100,4/10/2024,S3,492,112,7,68,No,Low,Yes
P1101,4/11/2024,S12,430,51,7,92,No,High,No
P1102,4/12/2024,S8,214,91,6,73,Yes,Low,Yes
P1103,4/13/2024,S3,176,72,3,79,No,High,No
P1104,4/14/2024,S1,174,95,5,74,No,Medium,No
P1105,4/15/2024,S3,339,22,13,91,No,Low,No
P1106,4/16/2024,S5,337,25,1,92,No,Medium,No
P1107,4/17/2024,S15,145,96,7,76,No,High,No
P1108,4/18/2024,S14,449,103,9,83,Yes,Medium,Yes
P1109,4/19/2024,S3,323,90,1,89,Yes,High,Yes
P1110,4/20/2024,S1,477,108,13,72,Yes,Medium,No
P1111,4/21/2024,S5,160,27,2,75,No,Medium,No
P1112,4/22/2024,S14,126,68,3,61,Yes,Medium,No
P1113,4/23/2024,S7,419,71,3,76,Yes,Low,No
P1114,4/24/2024,S9,81,44,8,91,No,Medium,Yes
P1115,4/25/2024,S15,484,118,7,67,Yes,High,No
P1116,4/26/2024,S15,146,14,6,62,No,High,No
P1117,4/27/2024,S10,238,93,10,71,Yes,Low,No
P1118,4/28/2024,S13,411,56,10,79,Yes,Low,No
P1119,4/29/2024,S19,423,117,11,75,No,High,Yes
P1120,4/30/2024,S7,83,76,4,73,Yes,Medium,No
P1121,5/1/2024,S17,112,79,9,75,No,High,Yes
P1122,5/2/2024,S20,224,65,1,92,No,Low,Yes
P1123,5/3/2024,S4,331,68,11,89,Yes,Low,No
P1124,5/4/2024,S5,377,9,2,71,Yes,High,No
P1125,5/5/2024,S7,242,113,14,74,No,Medium,No
P1126,5/6/2024,S13,142,57,4,77,Yes,Medium,No
P1127,5/7/2024,S15,40,59,3,87,Yes,Low,No
P1128,5/8/2024,S11,422,41,1,82,No,High,No
P1129,5/9/2024,S4,257,60,5,73,No,High,Yes
P1130,5/10/2024,S13,446,63,7,89,No,Low,No
P1131,5/11/2024,S7,284,113,2,92,No,High,No
P1132,5/12/2024,S19,104,106,5,74,No,Low,No
P1133,5/13/2024,S2,201,97,6,66,Yes,Medium,Yes
P1134,5/14/2024,S10,449,73,11,74,No,Medium,Yes
P1135,5/15/2024,S13,306,77,7,97,No,High,No
P1136,5/16/2024,S6,330,63,1,70,No,Medium,No
P1137,5/17/2024,S12,460,116,7,88,No,Medium,No
P1138,5/18/2024,S12,265,6,4,90,Yes,Low,No
P1139,5/19/2024,S20,397,69,8,84,Yes,Low,No
P1140,5/20/2024,S11,209,108,13,83,No,High,No
P1141,5/21/2024,S7,50,64,4,78,No,Low,No
P1142,5/22/2024,S1,117,55,6,61,Yes,High,Yes
P1143,5/23/2024,S1,200,34,9,81,Yes,High,No
P1144,5/24/2024,S20,376,15,5,79,No,Low,No
P1145,5/25/2024,S13,38,96,14,92,No,Medium,Yes
P1146,5/26/2024,S9,27,112,12,67,No,Medium,Yes
P1147,5/27/2024,S3,258,80,4,84,No,Medium,Yes
P1148,5/28/2024,S7,83,43,8,68,Yes,Medium,No
P1149,5/29/2024,S6,453,94,13,93,Yes,High,No
P1150,5/30/2024,S8,154,81,9,82,No,Medium,No
P1151,5/31/2024,S9,116,76,4,64,No,High,No
P1152,6/1/2024,S5,1,67,3,84,Yes,Low,No
P1153,6/2/2024,S1,92,68,8,67,Yes,Low,Yes
P1154,6/3/2024,S19,165,65,14,75,No,High,Yes
P1155,6/4/2024,S10,386,58,5,74,No,Medium,No
P1156,6/5/2024,S12,399,96,2,60,No,High,No
P1157,6/6/2024,S15,349,98,10,81,Yes,Medium,No
P1158,6/7/2024,S9,295,77,9,62,No,Medium,No
P1159,6/8/2024,S20,257,107,3,97,No,High,No
P1160,6/9/2024,S17,80,99,12,73,No,High,No
P1161,6/10/2024,S17,424,62,2,95,No,Medium,Yes
P1162,6/11/2024,S20,267,89,1,77,No,High,No
P1163,6/12/2024,S12,418,60,14,77,No,Medium,Yes
P1164,6/13/2024,S7,234,115,8,62,No,High,No
P1165,6/14/2024,S2,320,38,11,69,No,Low,Yes
P1166,6/15/2024,S3,310,35,3,98,No,Medium,No
P1167,6/16/2024,S17,300,56,7,60,No,Low,No
P1168,6/17/2024,S5,462,93,1,86,No,High,No
P1169,6/18/2024,S17,473,80,1,86,No,Low,No
P1170,6/19/2024,S17,356,5,12,70,No,High,No
P1171,6/20/2024,S17,212,59,9,64,No,Medium,No
P1172,6/21/2024,S2,61,26,12,66,No,High,No
P1173,6/22/2024,S2,48,44,8,78,No,High,No
P1174,6/23/2024,S5,126,105,12,88,No,Medium,Yes
P1175,6/24/2024,S1,222,115,13,74,No,High,No
P1176,6/25/2024,S1,408,5,3,94,Yes,Medium,No
P1177,6/26/2024,S19,278,69,6,96,No,High,No
P1178,6/27/2024,S2,407,67,11,71,Yes,Medium,No
P1179,6/28/2024,S12,293,110,3,89,Yes,Low,Yes
P1180,6/29/2024,S6,283,58,13,79,No,High,No
P1181,6/30/2024,S4,276,46,12,96,Yes,High,No
P1182,7/1/2024,S11,437,25,4,62,Yes,High,Yes
P1183,7/2/2024,S17,106,83,1,68,Yes,Medium,No
P1184,7/3/2024,S6,145,85,5,98,Yes,High,No
P1185,7/4/2024,S5,419,26,1,85,No,Medium,Yes
P1186,7/5/2024,S20,98,42,13,61,No,High,Yes
P1187,7/6/2024,S2,428,103,1,82,No,Low,No
P1188,7/7/2024,S6,374,113,10,82,No,High,Yes
P1189,7/8/2024,S11,72,84,11,80,Yes,Low,No
P1190,7/9/2024,S16,436,12,11,75,Yes,Medium,No
P1191,7/10/2024,S16,485,66,14,68,No,Low,No
P1192,7/11/2024,S1,121,51,7,72,No,High,No
P1193,7/12/2024,S9,29,21,12,87,No,High,No
P1194,7/13/2024,S6,187,21,6,86,No,Medium,No
P1195,7/14/2024,S16,363,94,2,76,No,High,No
P1196,7/15/2024,S3,353,17,14,97,No,High,No
P1197,7/16/2024,S20,287,21,11,95,No,Medium,No
P1198,7/17/2024,S4,450,42,12,60,No,Medium,No
P1199,7/18/2024,S19,194,85,2,77,Yes,Low,Yes
P1200,7/19/2024,S3,155,116,11,68,No,Medium,No
P1201,7/20/2024,S19,171,82,7,72,No,High,No
P1202,7/21/2024,S20,334,49,1,99,No,Medium,No
P1203,7/22/2024,S7,40,10,13,74,No,High,Yes
P1204,7/23/2024,S20,62,39,2,63,Yes,Low,No
P1205,7/24/2024,S9,22,114,12,92,No,Medium,No
P1206,7/25/2024,S1,359,18,8,83,No,High,No
P1207,7/26/2024,S8,74,115,6,95,Yes,Medium,No
P1208,7/27/2024,S7,47,76,14,69,No,Medium,No
P1209,7/28/2024,S18,159,65,2,95,Yes,Medium,No
P1210,7/29/2024,S8,312,19,7,79,No,Medium,No
P1211,7/30/2024,S1,117,58,4,70,No,Low,Yes
P1212,7/31/2024,S11,99,31,2,71,No,High,No
P1213,8/1/2024,S18,379,17,12,77,Yes,Medium,Yes
P1214,8/2/2024,S10,416,117,6,89,No,High,No
P1215,8/3/2024,S3,407,35,11,96,No,Low,Yes
P1216,8/4/2024,S7,166,39,9,79,Yes,High,No
P1217,8/5/2024,S16,289,64,11,84,No,High,No
P1218,8/6/2024,S16,439,10,9,71,No,Low,No
P1219,8/7/2024,S20,155,73,14,80,Yes,Medium,No
P1220,8/8/2024,S17,420,90,8,84,No,High,No
P1221,8/9/2024,S2,6,62,3,70,No,High,Yes
P1222,8/10/2024,S1,195,53,3,68,No,Medium,No
P1223,8/11/2024,S16,420,27,2,84,No,Medium,No
P1224,8/12/2024,S12,55,93,5,94,Yes,High,Yes
P1225,8/13/2024,S5,320,38,14,91,No,Low,Yes
P1226,8/14/2024,S5,192,30,12,73,No,Medium,No
P1227,8/15/2024,S9,46,51,14,60,Yes,Medium,Yes
P1228,8/16/2024,S9,147,9,4,76,No,Low,No
P1229,8/17/2024,S3,274,94,7,84,No,High,Yes
P1230,8/18/2024,S19,156,24,4,67,No,Medium,No
P1231,8/19/2024,S16,201,10,9,64,Yes,High,Yes
P1232,8/20/2024,S16,443,74,12,64,No,High,No
P1233,8/21/2024,S3,401,63,12,94,Yes,High,No
P1234,8/22/2024,S20,475,68,2,78,No,Low,No
P1235,8/23/2024,S1,418,118,11,82,No,High,No
P1236,8/24/2024,S20,426,22,14,68,No,High,No
P1237,8/25/2024,S11,494,8,6,89,Yes,Medium,Yes
P1238,8/26/2024,S17,478,21,7,75,No,Medium,Yes
P1239,8/27/2024,S8,474,18,4,92,Yes,Low,Yes
P1240,8/28/2024,S4,125,82,13,61,Yes,Low,No
P1241,8/29/2024,S6,394,17,6,73,No,Medium,No
P1242,8/30/2024,S8,304,11,7,60,No,Medium,No
P1243,8/31/2024,S20,368,48,4,85,Yes,Low,No
P1244,9/1/2024,S3,293,19,8,84,Yes,High,No
P1245,9/2/2024,S16,63,23,9,75,No,Low,No
P1246,9/3/2024,S3,324,67,1,74,No,High,No
P1247,9/4/2024,S18,391,111,7,85,Yes,Medium,No
P1248,9/5/2024,S14,417,115,9,75,No,Medium,Yes
P1249,9/6/2024,S18,175,112,12,73,No,Medium,No
P1250,9/7/2024,S2,115,39,10,88,No,High,No
P1251,9/8/2024,S3,439,85,5,83,No,Low,No
P1252,9/9/2024,S16,203,39,12,74,Yes,High,No
P1253,9/10/2024,S9,485,23,2,78,No,Low,No
P1254,9/11/2024,S4,320,24,10,67,No,Low,No
P1255,9/12/2024,S1,30,104,6,93,No,Low,Yes
P1256,9/13/2024,S4,387,39,12,61,No,Medium,No
P1257,9/14/2024,S1,112,36,12,86,No,Low,No
P1258,9/15/2024,S14,364,52,7,69,Yes,Medium,No
P1259,9/16/2024,S16,433,48,2,94,Yes,Low,No
P1260,9/17/2024,S20,324,108,2,82,Yes,Low,Yes
P1261,9/18/2024,S8,413,28,10,67,No,Medium,No
P1262,9/19/2024,S7,375,65,14,87,No,Medium,No
P1263,9/20/2024,S3,343,21,12,82,No,High,No
P1264,9/21/2024,S17,442,75,10,63,Yes,Low,No
P1265,9/22/2024,S1,66,111,1,73,No,Medium,Yes
P1266,9/23/2024,S16,74,54,4,88,No,High,Yes
P1267,9/24/2024,S12,44,69,7,60,No,High,No
P1268,9/25/2024,S19,259,103,14,63,Yes,Medium,No
P1269,9/26/2024,S14,153,36,9,91,Yes,Low,No
P1270,9/27/2024,S6,154,40,3,92,No,High,No
P1271,9/28/2024,S6,429,17,12,85,No,Low,Yes
P1272,9/29/2024,S13,362,74,11,76,Yes,Low,Yes
P1273,9/30/2024,S19,447,62,7,98,No,High,No
P1274,10/1/2024,S8,474,18,7,82,Yes,Medium,No
P1275,10/2/2024,S2,233,41,7,91,No,Low,No
P1276,10/3/2024,S1,50,116,2,74,No,Medium,No
P1277,10/4/2024,S15,305,83,6,72,Yes,High,No
P1278,10/5/2024,S1,261,115,2,61,No,Low,Yes
P1279,10/6/2024,S5,314,72,6,78,No,Medium,No
P1280,10/7/2024,S16,124,44,13,83,Yes,Medium,Yes
P1281,10/8/2024,S19,398,63,10,83,No,Low,No
P1282,10/9/2024,S4,244,84,3,70,Yes,Medium,No
P1283,10/10/2024,S3,29,96,14,81,Yes,Medium,No
P1284,10/11/2024,S17,425,20,2,74,Yes,High,No
P1285,10/12/2024,S17,484,66,12,69,Yes,High,No
P1286,10/13/2024,S12,121,8,14,86,Yes,Medium,No
P1287,10/14/2024,S14,124,49,6,68,Yes,Medium,Yes
P1288,10/15/2024,S6,36,94,2,87,No,Low,Yes
P1289,10/16/2024,S3,169,32,5,60,Yes,High,No
P1290,10/17/2024,S9,123,100,2,76,No,Low,No
P1291,10/18/2024,S5,356,113,3,90,Yes,Medium,No
P1292,10/19/2024,S17,34,70,3,69,Yes,Low,Yes
P1293,10/20/2024,S14,86,35,6,96,Yes,Medium,No
P1294,10/21/2024,S3,133,7,6,88,No,High,Yes
P1295,10/22/2024,S1,195,12,10,77,No,High,No
P1296,10/23/2024,S20,273,28,3,97,No,Medium,No
P1297,10/24/2024,S1,200,19,3,98,Yes,High,No
P1298,10/25/2024,S3,368,47,13,65,No,Medium,No
P1299,10/26/2024,S18,284,35,12,99,Yes,Low,No
P1300,10/27/2024,S10,76,77,13,71,Yes,Medium,Yes
P1301,10/28/2024,S3,58,107,1,73,No,Low,No
P1302,10/29/2024,S8,430,49,7,69,No,Medium,Yes
P1303,10/30/2024,S14,125,70,13,79,No,High,No
P1304,10/31/2024,S18,499,12,8,74,Yes,Medium,No
P1305,11/1/2024,S15,400,75,2,90,No,Medium,No
P1306,11/2/2024,S2,108,112,4,66,No,Medium,No
P1307,11/3/2024,S10,223,119,10,69,No,High,Yes
P1308,11/4/2024,S2,495,107,7,69,Yes,Medium,No
P1309,11/5/2024,S17,277,110,8,98,Yes,High,No
P1310,11/6/2024,S8,67,61,1,87,No,Medium,No
P1311,11/7/2024,S1,68,84,4,89,No,Low,No
P1312,11/8/2024,S9,164,103,6,96,No,Medium,No
P1313,11/9/2024,S11,488,34,3,62,No,Low,No
P1314,11/10/2024,S16,304,78,5,74,Yes,High,No
P1315,11/11/2024,S7,396,106,10,80,No,High,Yes
P1316,11/12/2024,S10,161,22,9,96,No,Medium,No
P1317,11/13/2024,S3,364,118,11,71,Yes,High,No
P1318,11/14/2024,S18,341,73,13,63,Yes,Medium,No
P1319,11/15/2024,S13,308,97,3,68,No,High,No
P1320,11/16/2024,S7,378,43,5,98,No,Low,No
P1321,11/17/2024,S4,342,64,8,87,No,High,Yes
P1322,11/18/2024,S13,434,102,6,82,Yes,Low,Yes
P1323,11/19/2024,S20,386,47,4,99,No,Medium,Yes
P1324,11/20/2024,S1,41,49,8,81,Yes,Medium,No
P1325,11/21/2024,S8,353,27,11,83,No,Medium,No
P1326,11/22/2024,S14,415,73,3,85,No,Low,No
P1327,11/23/2024,S16,108,98,3,89,Yes,Medium,Yes
P1328,11/24/2024,S14,50,10,4,92,Yes,Medium,No
P1329,11/25/2024,S12,249,60,9,75,No,Low,No
P1330,11/26/2024,S19,496,114,5,81,No,High,No
P1331,11/27/2024,S15,340,112,8,77,Yes,Medium,No
P1332,11/28/2024,S2,429,8,6,66,No,High,No
P1333,11/29/2024,S2,382,97,3,85,No,High,No
P1334,11/30/2024,S19,491,27,8,67,Yes,Medium,No
P1335,12/1/2024,S17,20,10,12,65,No,Medium,No
P1336,12/2/2024,S20,299,36,9,89,No,Low,Yes
P1337,12/3/2024,S10,138,110,8,98,Yes,Low,No
P1338,12/4/2024,S6,358,22,13,82,No,Medium,No
P1339,12/5/2024,S15,323,19,4,91,Yes,High,Yes
P1340,12/6/2024,S11,498,44,14,81,No,Low,No
P1341,12/7/2024,S5,384,100,14,68,No,Low,No
P1342,12/8/2024,S1,91,77,13,90,No,Medium,Yes
P1343,12/9/2024,S8,446,105,11,66,No,Medium,No
P1344,12/10/2024,S12,279,78,6,68,Yes,Medium,No
P1345,12/11/2024,S12,124,88,1,72,No,Medium,No
P1346,12/12/2024,S5,482,10,4,62,No,Low,Yes
P1347,12/13/2024,S7,396,116,8,94,Yes,Low,No
P1348,12/14/2024,S4,110,67,1,92,No,Low,Yes
P1349,12/15/2024,S6,353,71,3,80,Yes,High,No
P1350,12/16/2024,S13,138,110,1,90,No,Low,Yes
P1351,12/17/2024,S20,483,15,9,93,Yes,Low,No
P1352,12/18/2024,S15,434,47,2,91,Yes,Medium,Yes
P1353,12/19/2024,S3,272,21,9,94,Yes,Low,Yes
P1354,12/20/2024,S8,98,100,13,74,No,Low,Yes
P1355,12/21/2024,S20,251,8,4,91,No,Low,No
P1356,12/22/2024,S16,337,67,2,65,No,Medium,No
P1357,12/23/2024,S13,103,72,4,80,Yes,Low,Yes
P1358,12/24/2024,S18,213,85,12,92,No,Low,No
P1359,12/25/2024,S10,248,45,11,91,No,High,No
P1360,12/26/2024,S19,151,87,11,78,No,High,No
P1361,12/27/2024,S17,249,9,10,92,Yes,High,Yes
P1362,12/28/2024,S19,274,36,6,87,Yes,High,No
P1363,12/29/2024,S5,164,90,11,90,No,Medium,No
P1364,12/30/2024,S9,486,74,7,80,Yes,High,No
P1365,12/31/2024,S12,340,39,3,93,Yes,Low,No
P1366,1/1/2025,S1,7,26,3,74,Yes,High,Yes
P1367,1/2/2025,S1,283,69,12,73,No,Medium,No
P1368,1/3/2025,S15,4,88,10,78,No,High,Yes
P1369,1/4/2025,S2,144,26,12,74,No,High,No
P1370,1/5/2025,S16,100,116,8,65,Yes,Medium,Yes
P1371,1/6/2025,S8,163,15,5,68,No,Medium,No
P1372,1/7/2025,S13,373,81,4,96,Yes,Medium,Yes
P1373,1/8/2025,S1,146,110,7,79,No,Medium,No
P1374,1/9/2025,S16,63,7,7,93,No,Medium,No
P1375,1/10/2025,S7,90,13,13,97,No,Medium,No
P1376,1/11/2025,S5,116,64,9,85,Yes,Low,Yes
P1377,1/12/2025,S3,353,80,9,77,Yes,High,No
P1378,1/13/2025,S12,266,91,5,87,No,High,No
P1379,1/14/2025,S16,309,18,13,68,No,Medium,No
P1380,1/15/2025,S19,172,101,12,91,Yes,Medium,Yes
P1381,1/16/2025,S5,46,22,13,65,No,Low,No
P1382,1/17/2025,S14,139,117,8,73,No,Low,No
P1383,1/18/2025,S5,245,109,10,87,No,Medium,No
P1384,1/19/2025,S15,148,77,1,83,No,Low,Yes
P1385,1/20/2025,S17,245,27,9,72,Yes,Low,Yes
P1386,1/21/2025,S14,394,78,8,71,Yes,Medium,Yes
P1387,1/22/2025,S20,486,87,6,78,Yes,Medium,No
P1388,1/23/2025,S5,475,51,13,80,No,Medium,No
P1389,1/24/2025,S12,4,73,3,86,Yes,Medium,No
P1390,1/25/2025,S16,464,51,3,78,No,High,No
P1391,1/26/2025,S16,183,91,8,83,Yes,High,No
P1392,1/27/2025,S7,19,34,5,85,Yes,Medium,No
P1393,1/28/2025,S4,424,29,10,87,No,Low,No
P1394,1/29/2025,S1,45,32,11,77,Yes,Medium,No
P1395,1/30/2025,S5,11,102,14,95,Yes,High,No
P1396,1/31/2025,S10,69,113,7,88,No,Low,No
P1397,2/1/2025,S5,16,116,5,76,Yes,High,No
P1398,2/2/2025,S4,370,115,8,63,Yes,Medium,No
P1399,2/3/2025,S2,146,29,10,88,Yes,High,No
P1400,2/4/2025,S20,153,78,10,63,No,High,Yes
P1401,2/5/2025,S10,303,82,4,69,No,High,No
P1402,2/6/2025,S19,107,110,2,84,No,Low,Yes
P1403,2/7/2025,S1,235,114,3,90,Yes,High,Yes
P1404,2/8/2025,S5,307,62,8,62,No,Low,No
P1405,2/9/2025,S13,351,98,11,61,No,Medium,No
P1406,2/10/2025,S4,69,45,13,84,No,Medium,No
P1407,2/11/2025,S16,182,29,7,65,Yes,High,No
P1408,2/12/2025,S16,249,82,13,85,No,Low,Yes
P1409,2/13/2025,S2,227,103,2,67,No,Medium,Yes
P1410,2/14/2025,S17,101,52,6,94,No,Low,No
P1411,2/15/2025,S20,74,102,9,86,Yes,Low,No
P1412,2/16/2025,S12,416,14,4,84,Yes,High,Yes
P1413,2/17/2025,S18,445,103,9,77,Yes,High,No
P1414,2/18/2025,S3,215,79,2,60,Yes,Low,No
P1415,2/19/2025,S1,406,15,2,98,No,Low,No
P1416,2/20/2025,S1,398,89,9,62,No,High,No
P1417,2/21/2025,S19,410,25,12,63,No,Low,No
P1418,2/22/2025,S11,202,90,7,96,Yes,High,No
P1419,2/23/2025,S5,191,49,7,74,Yes,Low,No
P1420,2/24/2025,S12,248,11,1,67,Yes,High,Yes
P1421,2/25/2025,S3,498,85,13,97,Yes,Low,No
P1422,2/26/2025,S1,241,68,11,78,No,High,No
P1423,2/27/2025,S1,464,68,6,85,Yes,Low,Yes
P1424,2/28/2025,S8,178,6,13,98,Yes,Medium,Yes
P1425,3/1/2025,S10,436,80,7,69,No,Medium,No
P1426,3/2/2025,S11,461,46,11,97,No,Low,No
P1427,3/3/2025,S12,218,86,14,73,No,Medium,No
P1428,3/4/2025,S13,81,58,6,78,No,Low,Yes
P1429,3/5/2025,S12,91,79,6,89,Yes,Low,No
P1430,3/6/2025,S14,434,20,2,64,No,Medium,No
P1431,3/7/2025,S2,174,117,6,90,Yes,Low,Yes
P1432,3/8/2025,S19,238,119,4,66,Yes,High,No
P1433,3/9/2025,S18,259,22,9,78,No,Low,Yes
P1434,3/10/2025,S3,390,103,12,90,Yes,Low,Yes
P1435,3/11/2025,S17,364,63,1,98,No,Medium,No
P1436,3/12/2025,S8,162,94,13,83,Yes,High,No
P1437,3/13/2025,S10,47,20,8,93,No,Low,Yes
P1438,3/14/2025,S2,328,10,5,82,No,Low,No
P1439,3/15/2025,S19,327,61,1,99,No,Low,No
P1440,3/16/2025,S9,115,112,4,65,No,Low,No
P1441,3/17/2025,S7,428,111,1,97,No,Low,No
P1442,3/18/2025,S4,336,51,6,95,Yes,Low,No
P1443,3/19/2025,S18,336,115,2,86,No,High,Yes
P1444,3/20/2025,S13,368,52,5,70,No,High,No
P1445,3/21/2025,S11,224,46,7,64,Yes,Low,Yes
P1446,3/22/2025,S4,351,80,2,76,No,Low,No
P1447,3/23/2025,S4,327,64,6,66,No,Medium,No
P1448,3/24/2025,S10,146,81,6,86,No,High,No
P1449,3/25/2025,S5,62,8,5,74,Yes,High,Yes
P1450,3/26/2025,S9,293,107,5,72,No,Low,No
P1451,3/27/2025,S3,322,6,14,70,Yes,High,No
P1452,3/28/2025,S17,442,94,3,85,Yes,High,No
P1453,3/29/2025,S3,324,63,10,81,No,Medium,No
P1454,3/30/2025,S16,12,31,10,87,No,Medium,No
P1455,3/31/2025,S4,430,31,11,83,No,High,No
P1456,4/1/2025,S18,493,83,12,88,Yes,High,No
P1457,4/2/2025,S17,188,76,2,68,Yes,High,No
